medicine,category,uses,warnings,side effects,active ingredient,strength,manufacturer
Domperidone,Antiemetic,Nausea and vomiting,Use under medical supervision,"Dry mouth, headache",Domperidone,10 mg,Abbott
ORS,Oral Rehydration,Replacement of fluids and electrolytes,Prepare according to package directions,"Nausea, bloating",Sodium Chloride + Potassium Chloride + Glucose,WHO Formula,Electral
Vitamin B12,Vitamin Supplement,Vitamin B12 supplementation,Use according to healthcare guidance,"Mild nausea, headache",Cyanocobalamin,1000 mcg,Abbott
Vitamin D3,Vitamin Supplement,Vitamin D supplementation,Avoid excessive intake,"Nausea, constipation",Cholecalciferol,60000 IU,Sun Pharma
Calcium + Vitamin D3,Mineral/Vitamin Supplement,Calcium and vitamin D supplementation,Use cautiously in kidney disorders,"Constipation, stomach upset",Calcium Carbonate + Cholecalciferol,500 mg + 400 IU,Abbott
Iron + Folic Acid,Mineral/Vitamin Supplement,Iron and folic acid supplementation,Use according to healthcare guidance,"Constipation, nausea",Ferrous Ascorbate + Folic Acid,100 mg + 1.5 mg,Intas Pharmaceuticals
Atorvastatin,Statin,Cholesterol management,Use under medical supervision,"Muscle pain, headache",Atorvastatin,10 mg,Atorvastatin
Rosuvastatin,Statin,Cholesterol management,Use under medical supervision,"Headache, muscle pain",Rosuvastatin,10 mg,AstraZeneca
Amlodipine,Antihypertensive,High blood pressure and angina,Use under medical supervision,"Headache, ankle swelling",Amlodipine,5 mg,Dr Reddys Laboratories
Losartan,Antihypertensive,High blood pressure,Use under medical supervision,"Dizziness, headache",Losartan,50 mg,Sun Pharma
Telmisartan,Antihypertensive,High blood pressure,Use under medical supervision,"Dizziness, headache",Telmisartan,40 mg,Abbott
Atenolol,Antihypertensive,High blood pressure and heart conditions,Use under medical supervision,"Dizziness, tiredness",Atenolol,50 mg,IPCA Laboratories
Montelukast,Leukotriene Receptor Antagonist,Asthma and allergic rhinitis,Use under medical supervision,"Headache, abdominal pain",Montelukast,10 mg,Cipla
Salbutamol,Bronchodilator,Relief of bronchospasm,Use according to medical guidance,"Tremor, headache",Salbutamol,4 mg,Cipla
Budesonide,Corticosteroid,Asthma and respiratory conditions,Use under medical supervision,"Throat irritation, hoarseness",Budesonide,200 mcg,AstraZeneca
Albendazole,Anthelmintic,Parasitic worm infections,Use according to healthcare guidance,"Abdominal pain, nausea",Albendazole,400 mg,GlaxoSmithKline
Mebendazole,Anthelmintic,Parasitic worm infections,Use according to healthcare guidance,"Abdominal pain, diarrhea",Mebendazole,100 mg,Johnson and Johnson
Acyclovir,Antiviral,Herpes virus infections,Use under medical supervision,"Nausea, headache",Acyclovir,400 mg,Cipla
Fluconazole,Antifungal,Fungal infections,Use under medical supervision,"Nausea, headache",Fluconazole,150 mg,Cipla
Clotrimazole,Antifungal,Fungal skin infections,For external use according to medical guidance,"Skin irritation, redness",Clotrimazole,1 percent,Bayer
Hydrocortisone,Corticosteroid,Skin inflammation and irritation,Use according to healthcare guidance,"Skin irritation, dryness",Hydrocortisone,1 percent,Abbott
Calamine,Topical Skin Preparation,Skin irritation and itching,For external use only,"Dryness, mild irritation",Calamine,8 percent,Ipca Laboratories
Loperamide,Antidiarrheal,Relief of acute diarrhea,Use according to medical guidance,"Constipation, abdominal cramps",Loperamide,2 mg,Johnson and Johnson
Bisacodyl,Laxative,Relief of occasional constipation,Use according to package directions,"Abdominal cramps, diarrhea",Bisacodyl,5 mg,Sanofi
Levothyroxine,Thyroid Hormone,Thyroid hormone replacement,Use under medical supervision,"Headache, nervousness",Levothyroxine Sodium,50 mcg,Abbott
Allopurinol,Antigout,Gout and high uric acid,Use under medical supervision,"Nausea, skin rash",Allopurinol,100 mg,GlaxoSmithKline
